round,domain,item,delta_mean,delta_sd,HDI_lower,HDI_upper,sig,direction,grade,actual_dif
9,어휘문법,12,-0.20808182222503668,0.15802763244955578,-0.50068018,0.11250618,False,-,A(무시),Y
9,어휘문법,13,0.2513848748054933,0.15893632752759004,-0.064324504,0.55774824,False,-,A(무시),N
9,어휘문법,14,-0.029751338193424667,0.13558215698031015,-0.288923,0.24736244,False,-,A(무시),N
9,어휘문법,15,0.10112647247579033,0.1374211451384784,-0.16772529,0.37258326,False,-,A(무시),Y
9,어휘문법,16,0.5877994871266667,0.11326884618706956,0.37108017,0.80682698,True,남유리,C(큰),Y
9,어휘문법,17,-0.3947368201668667,0.13468684324338956,-0.65984364,-0.13386937,True,여유리,C(큰),Y
9,어휘문법,18,0.17533476571399267,0.14528236343908818,-0.11996275,0.44946204,False,-,A(무시),N
9,어휘문법,19,-0.15822182636922466,0.1808925975968693,-0.52291985,0.17067492,False,-,A(무시),N
9,어휘문법,20,0.212737396551348,0.16137323333026682,-0.11401892,0.52462783,False,-,A(무시),Y
9,어휘문법,21,0.09064057944726667,0.18389909380691738,-0.29579385,0.42236269,False,-,A(무시),N
9,어휘문법,22,-0.08750460281653033,0.1253806561311357,-0.33269885,0.15050101,False,-,A(무시),N
9,어휘문법,23,0.06908880371204633,0.12288893620458557,-0.1768808,0.30676023,False,-,A(무시),N
9,어휘문법,24,-0.07292495349481566,0.1677499374833257,-0.39415613,0.27025469,False,-,A(무시),N
9,어휘문법,25,-0.14153911666091,0.20160385673943668,-0.54210307,0.24557542,False,-,A(무시),N
9,어휘문법,26,-0.06320453925508533,0.16759471201682066,-0.39680695,0.2621262,False,-,A(무시),N
9,어휘문법,27,-0.07997063560481,0.13673069117324155,-0.36249817,0.17536722,False,-,A(무시),N
9,어휘문법,28,-0.09413347752638068,0.1214086489606204,-0.33828251,0.13729872,False,-,A(무시),N
9,어휘문법,29,-0.14625914039864366,0.1482425291511188,-0.43756874,0.14745537,False,-,A(무시),N
9,어휘문법,30,-0.003589578426057999,0.16768907060247668,-0.31310408,0.33688776,False,-,A(무시),N
9,쓰기,1,-0.09685468714369336,0.13497788270883687,-0.3506326,0.16753162,False,-,A(무시),N
9,쓰기,2,0.2630860691954537,0.19572478963785306,-0.11503722,0.65268715,False,-,A(무시),N
9,쓰기,3,-0.03668045402380467,0.17957669286473457,-0.35377015,0.34607767,False,-,A(무시),N
9,쓰기,4,-0.06007733413507166,0.13748410124149033,-0.33822397,0.20183428,False,-,A(무시),N
9,쓰기,5,-0.025384434254586665,0.1260227940574743,-0.27522866,0.21587606,False,-,A(무시),N
9,쓰기,6,0.03979878599044576,0.14958988131640003,-0.2519277,0.33706814,False,-,A(무시),N
9,쓰기,7,0.0001312752301433345,0.1831821067502701,-0.33318326,0.37452398,False,-,A(무시),N
9,쓰기,8,0.13175650393143334,0.1993378050488362,-0.25895756,0.52767125,False,-,A(무시),N
9,쓰기,9,-0.09450837702626066,0.17800167325989893,-0.43664442,0.26056934,False,-,A(무시),N
9,쓰기,10,0.16991717728247,0.14357738306875625,-0.13766371,0.41654581,False,-,A(무시),N
9,쓰기,11,-0.028444628307599997,0.1584720134282417,-0.35497278,0.26707499,False,-,A(무시),N
9,쓰기,12,0.04467261063251133,0.1529311863526381,-0.27261803,0.31941646,False,-,A(무시),N
9,쓰기,13,0.05603784475073733,0.16469015085974417,-0.30411102,0.34944721,False,-,A(무시),N
9,쓰기,14,0.13594545236550667,0.16388412729753374,-0.18110859,0.46508475,False,-,A(무시),N
9,쓰기,15,-0.042808337201173004,0.18328950427528973,-0.40776914,0.29952435,False,-,A(무시),N
9,쓰기,16,0.08685894843187399,0.20114957901173128,-0.32943468,0.45981587,False,-,A(무시),N
9,쓰기,17,0.19352386883571335,0.18475895850303412,-0.18365704,0.54586765,False,-,A(무시),Y
9,쓰기,18,0.17080326484412667,0.15872920231525406,-0.15441497,0.47080895,False,-,A(무시),Y
9,쓰기,19,0.015547678957233335,0.14982003685997758,-0.26948296,0.31803275,False,-,A(무시),N
9,쓰기,20,-0.06085107694666934,0.14926644177848172,-0.33558672,0.24676121,False,-,A(무시),N
9,쓰기,21,0.14831046043332133,0.2189944383669504,-0.26870455,0.57885889,False,-,A(무시),N
9,쓰기,22,-0.11629527368894131,0.21534633409950246,-0.54560832,0.28689421,False,-,A(무시),Y
9,쓰기,23,0.035006543962583334,0.15971422872717184,-0.27431492,0.34384844,False,-,A(무시),N
9,쓰기,24,0.2892762617748633,0.15529767060214875,-0.019402451,0.59911808,False,-,A(무시),Y
9,쓰기,25,-0.4798589443519,0.16948267202893758,-0.82107483,-0.16502444,True,여유리,C(큰),Y
9,쓰기,26,-0.13451819226616799,0.16193459319114345,-0.46207879,0.17517729,False,-,A(무시),Y
9,쓰기,27,0.0309210660151955,0.19670156835612124,-0.34099719,0.42880638,False,-,A(무시),Y
9,쓰기,28,-0.2511164934852466,0.20311345429563443,-0.67438015,0.12232138,False,-,A(무시),Y
9,쓰기,29,-0.21236803429094,0.1780299746382029,-0.55183987,0.14025438,False,-,A(무시),Y
9,쓰기,30,-0.17883372226003,0.16399247911589496,-0.51198162,0.14430107,False,-,A(무시),Y
9,듣기,1,-0.09185308131492467,0.15433093184680008,-0.40285866,0.2091253,False,-,A(무시),N
9,듣기,2,0.25783895287266,0.17035689617841124,-0.065901765,0.60309596,False,-,A(무시),Y
9,듣기,3,-0.25574911989052634,0.2108761457399211,-0.66847517,0.15340033,False,-,A(무시),Y
9,듣기,4,0.028593000191677997,0.15251911610879743,-0.29175688,0.31463898,False,-,A(무시),N
9,듣기,5,-0.05505848751790767,0.13205382664989856,-0.30354013,0.20457463,False,-,A(무시),N
9,듣기,6,0.17001494258216765,0.19835541825383626,-0.20561309,0.56362158,False,-,A(무시),N
9,듣기,7,0.030995805751542,0.17532648569695625,-0.32319209,0.36030654,False,-,A(무시),N
9,듣기,8,-0.009218763377148767,0.13715995924367555,-0.28426616,0.25384616,False,-,A(무시),N
9,듣기,9,0.15880701714965334,0.19017270410459738,-0.22942586,0.51889188,False,-,A(무시),N
9,듣기,10,-0.033306811011146666,0.11389572455181854,-0.25611543,0.193196,False,-,A(무시),N
9,듣기,11,0.04002038255841333,0.17857383057194554,-0.34070235,0.36097871,False,-,A(무시),N
9,듣기,12,0.15741088657853033,0.18659546587284476,-0.20299966,0.53633149,False,-,A(무시),N
9,듣기,13,0.28002952767964334,0.20192401113330052,-0.079518016,0.69434047,False,-,A(무시),N
9,듣기,14,-0.002461780545720666,0.13934238284018838,-0.27226751,0.26957711,False,-,A(무시),N
9,듣기,15,-0.18626559888827335,0.1819973348733421,-0.55832347,0.14623952,False,-,A(무시),N
9,듣기,16,-0.08978043158580165,0.1452057153095668,-0.38473859,0.18329036,False,-,A(무시),N
9,듣기,17,0.2788689047573267,0.15629733661955345,-0.028307643,0.58059897,False,-,A(무시),Y
9,듣기,18,0.15004784244903832,0.16495991977919716,-0.17619331,0.46453432,False,-,A(무시),N
9,듣기,19,0.02317023836197,0.18000924227582665,-0.3344568,0.37651328,False,-,A(무시),N
9,듣기,20,0.012360545802227334,0.1625198302041258,-0.3004472,0.32566476,False,-,A(무시),N
9,듣기,21,-0.2863927514325667,0.11189507429311214,-0.51399312,-0.070932201,True,여유리,C(큰),Y
9,듣기,22,-0.31786442031610335,0.1618520851878345,-0.62542775,0.0027163172,False,-,A(무시),Y
9,듣기,23,0.16362253455645,0.1596857260059412,-0.13815692,0.46504158,False,-,A(무시),Y
9,듣기,24,-0.12871903153221667,0.17293823491506877,-0.46743615,0.20702631,False,-,A(무시),N
9,듣기,25,-0.10427878654417566,0.13394491259381103,-0.35726261,0.16651097,False,-,A(무시),N
9,듣기,26,-0.013036868740836002,0.20130899886783465,-0.41740283,0.36171343,False,-,A(무시),Y
9,듣기,27,-0.10909944794904432,0.12015369502599721,-0.34798079,0.1246286,False,-,A(무시),N
9,듣기,28,-0.060581580363851334,0.13651312048743283,-0.31564991,0.22859702,False,-,A(무시),N
9,듣기,29,0.026278178419186,0.15223483401403448,-0.29304276,0.30781432,False,-,A(무시),Y
9,듣기,30,-0.019576857435023,0.1267331505733496,-0.25506273,0.23809709,False,-,A(무시),N
9,읽기,1,0.124487122362628,0.16072153977036271,-0.22354028,0.41656378,False,-,A(무시),Y
9,읽기,2,-0.056988764036842665,0.12068763717756144,-0.28761906,0.17910023,False,-,A(무시),N
9,읽기,3,0.10877502366041313,0.14435150255227466,-0.15685863,0.40416739,False,-,A(무시),N
9,읽기,4,-0.03953221862359067,0.17273062705930567,-0.37664383,0.29854864,False,-,A(무시),N
9,읽기,5,0.4513177117471,0.16152205219850163,0.13568406,0.77018788,True,남유리,C(큰),Y
9,읽기,6,0.34557300498056004,0.16284986909625931,0.045879551,0.68190083,True,남유리,C(큰),Y
9,읽기,7,0.148862740405649,0.11212929194327087,-0.072081575,0.3615198,False,-,A(무시),Y
9,읽기,8,0.2828880097356,0.15824273380011886,-0.037548509,0.59219758,False,-,A(무시),N
9,읽기,9,-0.08014060540181667,0.15152209882465567,-0.37590347,0.21473197,False,-,A(무시),N
9,읽기,10,0.08626915370073501,0.13341009036537463,-0.17299397,0.33948557,False,-,A(무시),Y
9,읽기,11,0.014605479937806668,0.2292977981397637,-0.42902626,0.47364904,False,-,A(무시),N
9,읽기,12,-0.008687665325806,0.1982201160092172,-0.40052349,0.3682122,False,-,A(무시),N
9,읽기,13,0.09018524527981632,0.111632637406913,-0.1221149,0.31787248,False,-,A(무시),N
9,읽기,14,-0.33487755218158666,0.1578493020710094,-0.64636452,-0.029292737,True,여유리,C(큰),Y
9,읽기,15,-0.146482662742981,0.14835709093341312,-0.4477117,0.13819902,False,-,A(무시),N
9,읽기,16,-0.058597188492519006,0.12309831325990281,-0.29796123,0.17944792,False,-,A(무시),N
9,읽기,17,-0.07538849229443266,0.1395156016249681,-0.33682332,0.20941081,False,-,A(무시),N
9,읽기,18,0.02430686599995686,0.15050649882787642,-0.27534161,0.31006067,False,-,A(무시),N
9,읽기,19,-0.16300944860728434,0.12038439618316596,-0.38389573,0.074875237,False,-,A(무시),N
9,읽기,20,-0.00042463602386093297,0.14863220130841542,-0.29101101,0.28380105,False,-,A(무시),N
9,읽기,21,0.04482573337185534,0.12890528601346107,-0.18766239,0.32173487,False,-,A(무시),N
9,읽기,22,-0.19062393683633766,0.17013423908947573,-0.51219543,0.15423269,False,-,A(무시),Y
9,읽기,23,-0.04570136461241473,0.14041200686537336,-0.33041021,0.22546753,False,-,A(무시),N
9,읽기,24,-0.09025442677923669,0.177874848052495,-0.43624224,0.24713726,False,-,A(무시),N
9,읽기,25,-0.10683979144849268,0.15384711409461901,-0.40641348,0.19200277,False,-,A(무시),N
9,읽기,26,-0.2465261055404867,0.14293629709250402,-0.52740391,0.023918309,False,-,A(무시),Y
9,읽기,27,-0.026011477898452668,0.16460244120595655,-0.37368055,0.27276418,False,-,A(무시),N
9,읽기,28,0.10785937859606266,0.13179735533742512,-0.14427063,0.3672815,False,-,A(무시),N
9,읽기,29,-0.1925718129643583,0.15801804103091133,-0.50589767,0.11508821,False,-,A(무시),Y
9,읽기,30,0.0874227953078367,0.1605479752506778,-0.22087201,0.41532576,False,-,A(무시),N
